Core,,Name,1-99,100-499,500-999,1000-1999,2000-4999,,,,,,
8051,,ML51UB9AE,1.23,1.03,0.79,0.66,0.59,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51UB9AE,1.23,1.03,0.79,0.66,0.59,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51UC0AE,1.29,1.08,0.83,0.69,0.62,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML51UC0AE,1.29,1.08,0.83,0.69,0.62,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML56MD1AE,2.01,1.68,1.29,1.07,0.97,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML56SD1AE,2.13,1.78,1.36,1.14,1.03,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,ML54SD1AE,1.80,1.50,1.15,0.96,0.87,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E516DFG,2.52,2.10,1.61,1.34,1.22,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E054DPG,1.89,1.58,1.21,1.01,0.91,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E365A40FL,2.58,2.15,1.65,1.38,1.25,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N79E815AT28,0.84,0.70,0.54,0.45,0.41,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E065A40PL,2.43,2.03,1.56,1.30,1.17,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MS51EB0AE,0.75,0.63,0.48,0.40,0.36,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,MS51XB9BE,0.53,0.44,0.34,0.28,0.26,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W78E516DDG,2.52,2.10,1.61,1.34,1.22,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,W79E8213RAKG,1.56,1.30,1.00,0.83,0.75,,83.33%,64.00%,53.33%,48.33%,0.00%
8051,,N78E517APG,,,,,,,,,,,
8051,,W925E240FG,,,,,,,,,,,
8051,,N78E366APG,,,,,,,,,,,
8051,,N78E366ALG,,,,,,,,,,,
8051,,N78E059APG,,,,,,,,,,,
8051,,N78E059APG,,,,,,,,,,,
,,,,,,,,,,,,,
,,Name,1-99,100-499,500-999,1000-1999,2000-4999,,,,,,
M0M23,,M031EB0AE,0.63,0.48,0.40,0.36,0.35,,76.80%,64.00%,58.00%,56.00%,0.00%
M0M23,,M031EC1AE,0.70,0.54,0.45,0.41,0.39,,76.80%,64.00%,58.00%,56.00%,0.00%
